,phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target,size,serial_no,similarity_score
36,8467020,https://t.co/zEhkltFA1U,http://www.phishtank.com/phish_detail.php?phish_id=8467020,2024-02-26T10:30:33+00:00,yes,2024-02-26T10:42:27+00:00,yes,Other,39,37,0.13823270327522746
37,8467019,https://garde.page.link/zXbp,http://www.phishtank.com/phish_detail.php?phish_id=8467019,2024-02-26T10:30:17+00:00,yes,2024-02-26T10:42:28+00:00,yes,Other,908906,38,0.5990083808593188
38,8467017,https://t.co/MNCcGswLfE,http://www.phishtank.com/phish_detail.php?phish_id=8467017,2024-02-26T10:30:06+00:00,yes,2024-02-26T10:42:28+00:00,yes,Other,12958,39,0.16199442655339147
39,8467014,https://bodaz-e6a1fe.ingress-earth.ewp.live/wp-content/plugins/neworoo2/fr/index.php,http://www.phishtank.com/phish_detail.php?phish_id=8467014,2024-02-26T10:29:11+00:00,yes,2024-02-26T10:42:28+00:00,yes,Other,908906,40,0.5990083808593188
40,8467013,https://tymayo.page.link/naxz,http://www.phishtank.com/phish_detail.php?phish_id=8467013,2024-02-26T10:29:10+00:00,yes,2024-02-26T10:42:28+00:00,yes,Other,908906,41,0.5990083808593188
41,8467012,http://identofo.hubside.fr/,http://www.phishtank.com/phish_detail.php?phish_id=8467012,2024-02-26T10:28:52+00:00,yes,2024-02-26T10:33:05+00:00,yes,Other,382907,42,0.8960794292389387
42,8467007,http://urltin.com/AUcvDP3R,http://www.phishtank.com/phish_detail.php?phish_id=8467007,2024-02-26T10:27:39+00:00,yes,2024-02-26T10:33:06+00:00,yes,Other,18245,43,0.19801207732696482
43,8467004,https://seulo-e6a1fe.ingress-earth.ewp.live/wp-content/plugins/neworoo2/fr/index.php,http://www.phishtank.com/phish_detail.php?phish_id=8467004,2024-02-26T10:26:58+00:00,yes,2024-02-26T10:33:06+00:00,yes,Other,908906,44,0.5990083808593188
44,8467003,https://toutxa.page.link/rniX,http://www.phishtank.com/phish_detail.php?phish_id=8467003,2024-02-26T10:26:39+00:00,yes,2024-02-26T10:33:06+00:00,yes,Other,908906,45,0.5990083808593188
47,8467000,https://t.co/F78KMumaFa,http://www.phishtank.com/phish_detail.php?phish_id=8467000,2024-02-26T10:25:59+00:00,yes,2024-02-26T10:33:06+00:00,yes,Other,39,48,0.13823270327522746
48,8466998,https://t.co/YcbPxVMweF,http://www.phishtank.com/phish_detail.php?phish_id=8466998,2024-02-26T10:25:25+00:00,yes,2024-02-26T10:33:06+00:00,yes,Other,39,49,0.13823270327522746
49,8466996,https://qrco.de/beoxsh,http://www.phishtank.com/phish_detail.php?phish_id=8466996,2024-02-26T10:25:11+00:00,yes,2024-02-26T10:33:06+00:00,yes,Other,6683,50,0.8144509194991282
50,8466994,https://app.mockplus.com/e/iPnuCmcRc,http://www.phishtank.com/phish_detail.php?phish_id=8466994,2024-02-26T10:11:39+00:00,yes,2024-02-26T10:22:37+00:00,yes,Other,82081,51,0.6025651659915447
51,8466993,https://idsmm.com.br/mps,http://www.phishtank.com/phish_detail.php?phish_id=8466993,2024-02-26T10:11:15+00:00,yes,2024-02-26T10:22:37+00:00,yes,Other,2523,52,0.761419317598133
52,8466992,https://idsmm.com.br/mps/,http://www.phishtank.com/phish_detail.php?phish_id=8466992,2024-02-26T10:11:12+00:00,yes,2024-02-26T10:22:37+00:00,yes,Other,2523,53,0.761419317598133
56,8466954,https://nadardevelopers.com/ko/ovo1/app/login.php,http://www.phishtank.com/phish_detail.php?phish_id=8466954,2024-02-26T09:52:29+00:00,yes,2024-02-26T10:03:24+00:00,yes,Other,235,57,0.17845765256206242
57,8466952,https://bt-security.webflow.io/,http://www.phishtank.com/phish_detail.php?phish_id=8466952,2024-02-26T09:40:41+00:00,yes,2024-02-26T09:42:41+00:00,yes,Other,880,58,0.8181496487274176
61,8466948,https://lnkfi.re/LN7HJh,http://www.phishtank.com/phish_detail.php?phish_id=8466948,2024-02-26T09:35:18+00:00,yes,2024-02-26T09:42:41+00:00,yes,Other,1423,62,0.3078335125803686
62,8466947,https://new.express.adobe.com/webpage/bJthiKm2GHB9T,http://www.phishtank.com/phish_detail.php?phish_id=8466947,2024-02-26T09:32:03+00:00,yes,2024-02-26T09:42:41+00:00,yes,Other,31797,63,0.574329606220632
63,8466938,https://bafybeiec3u2n7pnf5m6v5o43o7lhwdewtaexc2r53oe4asvxwy7cxjnnpi.ipfs.dweb.link/,http://www.phishtank.com/phish_detail.php?phish_id=8466938,2024-02-26T09:00:34+00:00,yes,2024-02-26T09:03:24+00:00,yes,Other,6619,64,0.4072254597495642
64,8466937,http://bafybeiec3u2n7pnf5m6v5o43o7lhwdewtaexc2r53oe4asvxwy7cxjnnpi.ipfs.dweb.link/,http://www.phishtank.com/phish_detail.php?phish_id=8466937,2024-02-26T09:00:33+00:00,yes,2024-02-26T09:03:24+00:00,yes,Other,6619,65,0.4072254597495642
65,8466934,http://creativhelp.de/l/p/,http://www.phishtank.com/phish_detail.php?phish_id=8466934,2024-02-26T08:53:03+00:00,yes,2024-02-26T09:03:24+00:00,yes,Other,4643,66,0.6121239265627813
66,8466927,https://gumter.ci/mps/,http://www.phishtank.com/phish_detail.php?phish_id=8466927,2024-02-26T08:34:19+00:00,yes,2024-02-26T08:52:33+00:00,yes,Other,39,67,0.13823270327522746
67,8466926,https://techzara.org/solar/,http://www.phishtank.com/phish_detail.php?phish_id=8466926,2024-02-26T08:33:57+00:00,yes,2024-02-26T08:52:33+00:00,yes,Other,0,68,0
68,8466924,http://techzara.org/solar,http://www.phishtank.com/phish_detail.php?phish_id=8466924,2024-02-26T08:33:50+00:00,yes,2024-02-26T08:52:33+00:00,yes,Other,39,69,0.13823270327522746
69,8466923,https://techzara.org/solar,http://www.phishtank.com/phish_detail.php?phish_id=8466923,2024-02-26T08:33:46+00:00,yes,2024-02-26T08:52:33+00:00,yes,Other,0,70,0
71,8466910,https://bitly.ws/3e9Xo,http://www.phishtank.com/phish_detail.php?phish_id=8466910,2024-02-26T08:26:34+00:00,yes,2024-02-26T08:32:46+00:00,yes,Other,30995,72,0.9353981352741885
73,8466908,https://t.co/AwRjTfxBCi,http://www.phishtank.com/phish_detail.php?phish_id=8466908,2024-02-26T08:26:25+00:00,yes,2024-02-26T08:32:46+00:00,yes,Other,39,74,0.13823270327522746
75,8466906,https://glittery-pixie-963b66.netlify.app/,http://www.phishtank.com/phish_detail.php?phish_id=8466906,2024-02-26T08:26:16+00:00,yes,2024-02-26T08:32:46+00:00,yes,Other,2871,76,0.804174023375918
76,8466901,https://snip.ly/8c0jmy,http://www.phishtank.com/phish_detail.php?phish_id=8466901,2024-02-26T08:25:54+00:00,yes,2024-02-26T08:32:46+00:00,yes,Other,39810,77,0.7800093060771413
77,8466900,https://cont0ch-le2stxf9qp.live-website.com/connect/secure/4.php?,http://www.phishtank.com/phish_detail.php?phish_id=8466900,2024-02-26T08:25:48+00:00,yes,2024-02-26T08:32:46+00:00,yes,Other,57598,78,0.7516910248710197
93,8466878,http://allegrolokalnie.id-oferta5755.pl,http://www.phishtank.com/phish_detail.php?phish_id=8466878,2024-02-26T08:19:39+00:00,yes,2024-02-26T08:32:46+00:00,yes,Allegro,15596,94,0.8938624462832206
97,8466874,https://allegrolokalnie.id-oferta5755.pl,http://www.phishtank.com/phish_detail.php?phish_id=8466874,2024-02-26T08:19:22+00:00,yes,2024-02-26T08:32:46+00:00,yes,Allegro,17708,98,0.8938624462832206
99,8466871,https://bt-customer-verification.weeblysite.com/,http://www.phishtank.com/phish_detail.php?phish_id=8466871,2024-02-26T08:17:50+00:00,yes,2024-02-26T08:22:17+00:00,yes,Other,1551,100,0.6256438490268487
106,8466841,https://ipfs.io/ipfs/QmeY4ZpH2E1amqwn3gi9FErxfZyGMDVq3MxzheeN5x438D/dasker+desktop.html?e=redacted@abuse.ionos.com,http://www.phishtank.com/phish_detail.php?phish_id=8466841,2024-02-26T07:27:45+00:00,yes,2024-02-26T07:32:29+00:00,yes,Other,6619,107,0.4072254597495642
107,8466839,http://xpubweb-rectify.pages.dev/wallets,http://www.phishtank.com/phish_detail.php?phish_id=8466839,2024-02-26T07:23:10+00:00,yes,2024-02-26T07:32:29+00:00,yes,Other,4120,108,0.7393586583195719
108,8466840,https://xpubweb-rectify.pages.dev/wallets/,http://www.phishtank.com/phish_detail.php?phish_id=8466840,2024-02-26T07:23:10+00:00,yes,2024-02-26T07:32:29+00:00,yes,Other,4120,109,0.7393586583195719
110,8466835,https://metabarber.com.br/ups/ups23/app/track.php,http://www.phishtank.com/phish_detail.php?phish_id=8466835,2024-02-26T07:03:33+00:00,yes,2024-02-26T07:52:41+00:00,yes,Other,22536,111,0.6437443645755128
111,8466833,https://qrfy.com/r/TU-n3tthc4,http://www.phishtank.com/phish_detail.php?phish_id=8466833,2024-02-26T07:01:53+00:00,yes,2024-02-26T07:52:41+00:00,yes,Other,12335,112,0.4025432763208491
112,8466834,https://metabarber.com.br/ups/ups23/app/index.php?userid=5568f04630003a8034ab4ffa8936e303&ue=189c9160633d2ff8210472a5db4eaa9d,http://www.phishtank.com/phish_detail.php?phish_id=8466834,2024-02-26T07:01:53+00:00,yes,2024-02-26T07:52:41+00:00,yes,Other,22536,113,0.6437443645755128
113,8466832,https://email.addreser.shop/notifications.php,http://www.phishtank.com/phish_detail.php?phish_id=8466832,2024-02-26T07:00:42+00:00,yes,2024-02-26T07:12:34+00:00,yes,Other,39,114,0.13823270327522746
115,8466830,https://furnipro.ee/wp-admin/css/colors/ocean/rtl-css/ds-manageo/status/tracking/j0pl1n/details.php,http://www.phishtank.com/phish_detail.php?phish_id=8466830,2024-02-26T07:00:20+00:00,yes,2024-02-26T07:52:41+00:00,yes,Other,100779,116,0.9041931806926924
116,8466828,https://bit.ly/3wr9q0h,http://www.phishtank.com/phish_detail.php?phish_id=8466828,2024-02-26T07:00:17+00:00,yes,2024-02-26T07:52:41+00:00,yes,Other,5412,117,0.5613370539371977
119,8466825,https://t.co/m49Q8mqUTg,http://www.phishtank.com/phish_detail.php?phish_id=8466825,2024-02-26T07:00:00+00:00,yes,2024-02-26T07:12:34+00:00,yes,Other,13113,120,0.16199442655339147
120,8466824,https://browser.lol/redirect-url-to?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&url=https://is.reorderpack.com/raiffeisentwint/?p=reports@antiphishing.ch,http://www.phishtank.com/phish_detail.php?phish_id=8466824,2024-02-26T06:59:57+00:00,yes,2024-02-26T08:03:46+00:00,yes,Other,2523,121,0.761419317598133
121,8466823,https://is.reorderpack.com/raiffeisentwint/?p=reports@antiphishing.ch,http://www.phishtank.com/phish_detail.php?phish_id=8466823,2024-02-26T06:59:56+00:00,yes,2024-02-26T08:03:46+00:00,yes,Other,2523,122,0.761419317598133
122,8466822,https://browser.lol/redirect-url-to?client_id=4765&url=https://is.reorderpack.com/raiffeisentwint/?p=reports@antiphishing.ch,http://www.phishtank.com/phish_detail.php?phish_id=8466822,2024-02-26T06:59:55+00:00,yes,2024-02-26T08:03:46+00:00,yes,Other,2523,123,0.761419317598133
124,8466820,http://www.agenziacavalieri.com/otBannerSdk.html,http://www.phishtank.com/phish_detail.php?phish_id=8466820,2024-02-26T06:59:50+00:00,yes,2024-02-26T07:12:34+00:00,yes,Other,4884,125,0.389890956899354
126,8466812,https://is.reorderpack.com/raiffeisentwint/?p=tobias.angehrn@sgkb.ch,http://www.phishtank.com/phish_detail.php?phish_id=8466812,2024-02-26T06:59:07+00:00,yes,2024-02-26T08:03:46+00:00,yes,Other,2523,127,0.761419317598133
127,8466811,https://browser.lol/redirect-url-to?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&url=https://is.reorderpack.com/raiffeisentwint/?p=tobias.angehrn@sgkb.ch,http://www.phishtank.com/phish_detail.php?phish_id=8466811,2024-02-26T06:59:05+00:00,yes,2024-02-26T08:03:46+00:00,yes,Other,2523,128,0.761419317598133
133,8466805,https://linco-cable.com/jd/index.html,http://www.phishtank.com/phish_detail.php?phish_id=8466805,2024-02-26T06:58:11+00:00,yes,2024-02-26T08:03:46+00:00,yes,Other,6590,134,0.8226255250043549
135,8466803,https://galicipromos-clientes.replit.app/,http://www.phishtank.com/phish_detail.php?phish_id=8466803,2024-02-26T06:42:39+00:00,yes,2024-02-26T06:52:23+00:00,yes,Other,160,136,0.2141491830744749
136,8466802,https://aeon-ne-jp.atysdistribution.com,http://www.phishtank.com/phish_detail.php?phish_id=8466802,2024-02-26T06:42:25+00:00,yes,2024-02-26T06:52:23+00:00,yes,Other,4229,137,0.7576478169552193
138,8466800,https://is.reorderpack.com/raiffeisentwint/,http://www.phishtank.com/phish_detail.php?phish_id=8466800,2024-02-26T06:36:11+00:00,yes,2024-02-26T06:52:23+00:00,yes,Other,2523,139,0.761419317598133
141,8466791,http://pancakeprotectors.pages.dev,http://www.phishtank.com/phish_detail.php?phish_id=8466791,2024-02-26T05:37:53+00:00,yes,2024-02-26T08:12:46+00:00,yes,Other,4113,142,0.7393586583195719
142,8466792,https://pancakeprotectors.pages.dev/,http://www.phishtank.com/phish_detail.php?phish_id=8466792,2024-02-26T05:37:53+00:00,yes,2024-02-26T08:12:46+00:00,yes,Other,4113,143,0.7393586583195719
168,8466762,https://scnv.io/fzb0,http://www.phishtank.com/phish_detail.php?phish_id=8466762,2024-02-26T04:14:53+00:00,yes,2024-02-26T04:22:37+00:00,yes,Optus,1419,169,0.7949882825719833
175,8466754,http://70356134-1e65-4f60-94ee-18e6fc220ac1-00-qed3v4c7t0e6.spock.replit.dev,http://www.phishtank.com/phish_detail.php?phish_id=8466754,2024-02-26T03:59:05+00:00,yes,2024-02-26T04:02:42+00:00,yes,Other,7444,176,0.8551703620889403
176,8466752,https://ingres-ficohs-ahora.netlify.app/,http://www.phishtank.com/phish_detail.php?phish_id=8466752,2024-02-26T03:28:25+00:00,yes,2024-02-26T03:32:48+00:00,yes,Other,2871,177,0.804174023375918
177,8466751,http://ingres-ficohs-ahora.netlify.app,http://www.phishtank.com/phish_detail.php?phish_id=8466751,2024-02-26T03:28:24+00:00,yes,2024-02-26T03:32:48+00:00,yes,Other,2871,178,0.804174023375918
178,8466742,https://www.floridavacationrentalsbyowners.com/blog/content/30/,http://www.phishtank.com/phish_detail.php?phish_id=8466742,2024-02-26T02:52:12+00:00,yes,2024-02-26T03:03:27+00:00,yes,Optus,47378,179,0.2749999706140857
189,8466728,https://xcvbnmasdfghjytrewq.weeblysite.com/,http://www.phishtank.com/phish_detail.php?phish_id=8466728,2024-02-26T02:31:56+00:00,yes,2024-02-26T02:42:27+00:00,yes,Other,1551,190,0.6256438490268487
190,8466724,https://aeon-ne-jp.bluagi.com/?3p0c2bt9,http://www.phishtank.com/phish_detail.php?phish_id=8466724,2024-02-26T02:18:31+00:00,yes,2024-02-26T02:21:42+00:00,yes,Other,4219,191,0.7576478169552193
191,8466723,https://aeon-ne-jp.msylc8.com/?3p0c2bt9,http://www.phishtank.com/phish_detail.php?phish_id=8466723,2024-02-26T02:18:18+00:00,yes,2024-02-26T02:21:42+00:00,yes,Other,4219,192,0.7576478169552193
192,8466720,https://aeon-ne-jp.shunjiezuche.cn/?3p0c2bt9,http://www.phishtank.com/phish_detail.php?phish_id=8466720,2024-02-26T02:17:39+00:00,yes,2024-02-26T02:21:42+00:00,yes,Other,4224,193,0.7576478169552193
193,8466715,https://aeon-ne-jp.afqaa.cn/?3p0c2bt9,http://www.phishtank.com/phish_detail.php?phish_id=8466715,2024-02-26T02:16:27+00:00,yes,2024-02-26T02:21:42+00:00,yes,Other,4217,194,0.7576478169552193
199,8466707,https://docs.google.com/presentation/d/e/2PACX-1vSicdycYx53gJa_WPT2JqPiNEGG3b9KkkXjVcMll5LMdZycsS7XdZUvwT0w8o3v7cnGtB93Do4DLhhq/pub?start=false&loop=false&delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8466707,2024-02-26T02:11:25+00:00,yes,2024-02-26T02:21:42+00:00,yes,Other,2802,200,0.6884858305393824
205,8466679,https://cartaorener.000webhostapp.com,http://www.phishtank.com/phish_detail.php?phish_id=8466679,2024-02-26T01:25:51+00:00,yes,2024-02-26T01:32:05+00:00,yes,Other,17443,206,0.8899893946368921
207,8466674,https://www.floridavacationrentalsbyowners.com/uploads/3428/11/,http://www.phishtank.com/phish_detail.php?phish_id=8466674,2024-02-26T01:00:55+00:00,yes,2024-02-26T01:22:19+00:00,yes,Optus,47378,208,0.2749999706140857
208,8466673,https://short.im/opdhfog,http://www.phishtank.com/phish_detail.php?phish_id=8466673,2024-02-26T01:00:54+00:00,yes,2024-02-26T01:03:32+00:00,yes,Optus,20061,209,0.8484045891755719
212,8466668,https://customer-support-aeon.shop/aeon,http://www.phishtank.com/phish_detail.php?phish_id=8466668,2024-02-26T00:45:19+00:00,yes,2024-02-26T00:52:29+00:00,yes,AEON Card,39,213,0.13823270327522746
218,8466639,https://blackberry-xdss-57ly.e2ghkywg.workers.dev,http://www.phishtank.com/phish_detail.php?phish_id=8466639,2024-02-25T22:51:40+00:00,yes,2024-02-25T23:02:38+00:00,yes,Other,224955,219,0.49333758157853347
223,8466621,https://docs.google.com/presentation/d/e/2PACX-1vTLs4Xtqe8xoJzHXxSSsw1kdHfA5CzYSgC6cJ6XsHFnqPh_Y5geGR9_HyaswlCLmD8ZRQGwLwpAk9U3/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=8466621,2024-02-25T22:01:36+00:00,yes,2024-02-25T22:12:48+00:00,yes,Other,3038,224,0.7671954496663133
224,8466617,https://hhbgqmbf.square.site/,http://www.phishtank.com/phish_detail.php?phish_id=8466617,2024-02-25T21:52:06+00:00,yes,2024-02-25T22:03:13+00:00,yes,Other,1551,225,0.6256438490268487
225,8466616,https://rfgrdefgrdefgsd.blogspot.sn/,http://www.phishtank.com/phish_detail.php?phish_id=8466616,2024-02-25T21:50:29+00:00,yes,2024-02-25T21:51:49+00:00,yes,Facebook,15064,226,0.8193175034200357
226,8466615,https://rfgrdefgrdefgsd.blogspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=8466615,2024-02-25T21:49:44+00:00,yes,2024-02-25T21:51:49+00:00,yes,Facebook,15064,227,0.8193175034200357
232,8466607,https://desk-byhi-54nd.qoxc5rau.workers.dev,http://www.phishtank.com/phish_detail.php?phish_id=8466607,2024-02-25T21:41:25+00:00,yes,2024-02-25T21:51:49+00:00,yes,Other,225004,233,0.49333758157853347
233,8466606,https://metamashjknig.azurewebsites.net/,http://www.phishtank.com/phish_detail.php?phish_id=8466606,2024-02-25T21:35:44+00:00,yes,2024-02-25T21:42:39+00:00,yes,Other,2251,234,0.6561808046625892
234,8466605,https://autumn-tree-3897.on.fleek.co/attmailverificationprocess.html,http://www.phishtank.com/phish_detail.php?phish_id=8466605,2024-02-25T21:27:22+00:00,yes,2024-02-25T21:31:50+00:00,yes,AT&amp;T,52433,235,0.7710421277991104
235,8466602,https://www.comprensivoviguzzolo.edu.it/tmp/appsuite/,http://www.phishtank.com/phish_detail.php?phish_id=8466602,2024-02-25T20:54:15+00:00,yes,2024-02-25T21:02:47+00:00,yes,Other,200003,236,0.5844884466557625
236,8466601,https://www.rezzamastrella.com/otBannerSdk.html,http://www.phishtank.com/phish_detail.php?phish_id=8466601,2024-02-25T20:54:12+00:00,yes,2024-02-25T21:02:47+00:00,yes,Other,49672,237,0.7472676010007042
237,8466600,https://mnrydhabskdkf.weebly.com/,http://www.phishtank.com/phish_detail.php?phish_id=8466600,2024-02-25T20:50:59+00:00,yes,2024-02-25T20:52:23+00:00,yes,Other,3792,238,0.6679260927623516
240,8466590,https://www.donaldservice.se/ch/CHFINAL/,http://www.phishtank.com/phish_detail.php?phish_id=8466590,2024-02-25T20:28:12+00:00,yes,2024-02-25T20:32:46+00:00,yes,Other,61269,241,0.833552714373225
241,8466589,https://micicoatings.com/indexx.php,http://www.phishtank.com/phish_detail.php?phish_id=8466589,2024-02-25T20:28:04+00:00,yes,2024-02-25T20:32:46+00:00,yes,Other,39,242,0.13823270327522746
242,8466587,https://sd0z5d4.blogspot.com/,http://www.phishtank.com/phish_detail.php?phish_id=8466587,2024-02-25T20:27:51+00:00,yes,2024-02-25T20:32:46+00:00,yes,Other,39,243,0.13823270327522746
243,8466585,https://extra-cashcrecemoscontigo-emprendedor.com/,http://www.phishtank.com/phish_detail.php?phish_id=8466585,2024-02-25T20:06:35+00:00,yes,2024-02-25T20:12:43+00:00,yes,Other,7655,244,0.7545163817633255
246,8466576,https://2a8ae48c9cf33b3e96d27973ce704ace705082dbcada582d199f4e068d.pages.dev/,http://www.phishtank.com/phish_detail.php?phish_id=8466576,2024-02-25T19:18:31+00:00,yes,2024-02-25T19:22:20+00:00,yes,Microsoft,21645,247,0.611866611425177
247,8466574,https://onecdn.mukmukmuke.workers.dev/?sso_reload=true,http://www.phishtank.com/phish_detail.php?phish_id=8466574,2024-02-25T19:16:49+00:00,yes,2024-02-25T19:22:20+00:00,yes,Microsoft,20691,248,0.038452033891969176
248,8466573,https://onecdn.mukmukmuke.workers.dev/,http://www.phishtank.com/phish_detail.php?phish_id=8466573,2024-02-25T19:16:20+00:00,yes,2024-02-25T19:22:20+00:00,yes,Microsoft,20691,249,0.038452033891969176
249,8466572,https://bafybeicgtz4clqpfogl6eb4e5s4f22l4vxw6fbl77wld4vrfhmcmtcu544.ipfs.dweb.link/,http://www.phishtank.com/phish_detail.php?phish_id=8466572,2024-02-25T19:14:55+00:00,yes,2024-02-25T19:22:20+00:00,yes,Other,172840,250,0.8313954066903967
250,8466571,https://pdf.remit-info.workers.dev/,http://www.phishtank.com/phish_detail.php?phish_id=8466571,2024-02-25T19:13:29+00:00,yes,2024-02-25T19:22:20+00:00,yes,Adobe,195966,251,0.17517909782876057
251,8466570,https://subtle-torrone-982adb.netlify.app/,http://www.phishtank.com/phish_detail.php?phish_id=8466570,2024-02-25T19:11:23+00:00,yes,2024-02-25T19:22:20+00:00,yes,Facebook,2871,252,0.804174023375918
253,8466568,https://productive-mirror-vanilla.glitch.me/e45tfy.html,http://www.phishtank.com/phish_detail.php?phish_id=8466568,2024-02-25T19:04:57+00:00,yes,2024-02-25T19:12:53+00:00,yes,Coinbase,1927,254,0.6783738517974788
254,8466567,https://veiled-efficacious-innovation.glitch.me/bf567j.html,http://www.phishtank.com/phish_detail.php?phish_id=8466567,2024-02-25T19:04:12+00:00,yes,2024-02-25T19:12:53+00:00,yes,Coinbase,1931,255,0.6783738517974788
255,8466566,https://grizzled-comfortable-epoxy.glitch.me/67yusgy.html,http://www.phishtank.com/phish_detail.php?phish_id=8466566,2024-02-25T19:03:23+00:00,yes,2024-02-25T19:12:53+00:00,yes,Coinbase,1928,256,0.6783738517974788
256,8466565,https://spark-excited-licorice.glitch.me/ui87ui.html,http://www.phishtank.com/phish_detail.php?phish_id=8466565,2024-02-25T19:02:32+00:00,yes,2024-02-25T19:12:53+00:00,yes,Coinbase,1924,257,0.6783738517974788
257,8466564,https://resonant-erratic-gibbon.glitch.me/ji8uuij.html,http://www.phishtank.com/phish_detail.php?phish_id=8466564,2024-02-25T19:01:37+00:00,yes,2024-02-25T19:12:53+00:00,yes,Coinbase,1925,258,0.6783738517974788
258,8466563,https://water-airy-fall.glitch.me/e6ygdh.html,http://www.phishtank.com/phish_detail.php?phish_id=8466563,2024-02-25T19:00:42+00:00,yes,2024-02-25T19:02:25+00:00,yes,Coinbase,1917,259,0.6783738517974788
259,8466562,https://abaft-nebulous-discovery.glitch.me/ji87yu.html,http://www.phishtank.com/phish_detail.php?phish_id=8466562,2024-02-25T18:59:56+00:00,yes,2024-02-25T19:02:25+00:00,yes,Coinbase,1926,260,0.6783738517974788
260,8466561,https://political-noisy-dietician.glitch.me/jijou8ui.html,http://www.phishtank.com/phish_detail.php?phish_id=8466561,2024-02-25T18:58:53+00:00,yes,2024-02-25T19:02:26+00:00,yes,Coinbase,1927,261,0.6783738517974788
261,8466560,https://classy-lamington-c83494.netlify.app/,http://www.phishtank.com/phish_detail.php?phish_id=8466560,2024-02-25T18:55:02+00:00,yes,2024-02-25T19:02:26+00:00,yes,Facebook,2871,262,0.804174023375918
262,8466559,https://ondriv3do.appraisal.workers.dev/,http://www.phishtank.com/phish_detail.php?phish_id=8466559,2024-02-25T18:52:51+00:00,yes,2024-02-25T19:02:26+00:00,yes,Microsoft,195704,263,0.6875262243257771
263,8466558,https://coinbbase-logiin.godaddysites.com/,http://www.phishtank.com/phish_detail.php?phish_id=8466558,2024-02-25T18:50:27+00:00,yes,2024-02-25T18:52:37+00:00,yes,Coinbase,947,264,0.8479673147468485
