,url,size,serial_no,similarity_score,num_forms,has_login_form,num_scripts,has_external_scripts,num_hyperlinks,num_external_hyperlinks,num_js_events,isPhishing
68,http://techzara.org/solar,39,69,0.138232703,0,0,0,0,0,0,0,1
69,https://techzara.org/solar,0,70,0,0,0,0,0,0,0,0,1
71,https://bitly.ws/3e9Xo,30995,72,0.935398135,2,0,22,1,13,12,0,1
73,https://t.co/AwRjTfxBCi,39,74,0.138232703,0,0,0,0,0,0,0,1
75,https://glittery-pixie-963b66.netlify.app/,2871,76,0.804174023,0,0,1,0,2,1,0,1
76,https://snip.ly/8c0jmy,39810,77,0.780009306,0,0,11,1,3,3,0,1
77,https://cont0ch-le2stxf9qp.live-website.com/connect/secure/4.php?,57598,78,0.751691025,1,0,6,1,14,4,0,1
93,http://allegrolokalnie.id-oferta5755.pl,15596,94,0.893862446,0,0,3,1,0,0,0,1
97,https://allegrolokalnie.id-oferta5755.pl,17708,98,0.893862446,0,0,3,1,0,0,0,1
99,https://bt-customer-verification.weeblysite.com/,1551,100,0.625643849,0,0,0,0,1,1,0,1
106,https://ipfs.io/ipfs/QmeY4ZpH2E1amqwn3gi9FErxfZyGMDVq3MxzheeN5x438D/dasker+desktop.html?e=redacted@abuse.ionos.com,6619,107,0.40722546,0,0,0,0,3,2,0,1
107,http://xpubweb-rectify.pages.dev/wallets,4120,108,0.739358658,1,0,3,0,2,2,0,1
108,https://xpubweb-rectify.pages.dev/wallets/,4120,109,0.739358658,1,0,3,0,2,2,0,1
110,https://metabarber.com.br/ups/ups23/app/track.php,22536,111,0.643744365,1,0,18,1,11,10,0,1
111,https://qrfy.com/r/TU-n3tthc4,12335,112,0.402543276,0,0,3,1,2,2,0,1
112,https://metabarber.com.br/ups/ups23/app/index.php?userid=5568f04630003a8034ab4ffa8936e303&ue=189c9160633d2ff8210472a5db4eaa9d,22536,113,0.643744365,1,0,18,1,11,10,0,1
113,https://email.addreser.shop/notifications.php,39,114,0.138232703,0,0,0,0,0,0,0,1
115,https://furnipro.ee/wp-admin/css/colors/ocean/rtl-css/ds-manageo/status/tracking/j0pl1n/details.php,100779,116,0.904193181,1,0,21,1,19,16,0,1
116,https://bit.ly/3wr9q0h,5412,117,0.561337054,0,0,0,0,3,3,0,1
119,https://t.co/m49Q8mqUTg,13113,120,0.161994427,0,0,1,0,55,55,0,1
120,https://browser.lol/redirect-url-to?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&url=https://is.reorderpack.com/raiffeisentwint/?p=reports@antiphishing.ch,2523,121,0.761419318,0,0,2,1,0,0,0,1
121,https://is.reorderpack.com/raiffeisentwint/?p=reports@antiphishing.ch,2523,122,0.761419318,0,0,2,1,0,0,0,1
122,https://browser.lol/redirect-url-to?client_id=4765&url=https://is.reorderpack.com/raiffeisentwint/?p=reports@antiphishing.ch,2523,123,0.761419318,0,0,2,1,0,0,0,1
124,http://www.agenziacavalieri.com/otBannerSdk.html,4884,125,0.389890957,0,0,0,0,2,2,0,1
126,https://is.reorderpack.com/raiffeisentwint/?p=tobias.angehrn@sgkb.ch,2523,127,0.761419318,0,0,2,1,0,0,0,1
127,https://browser.lol/redirect-url-to?client_id=4765445b-32c6-49b0-83e6-1d93765276ca&url=https://is.reorderpack.com/raiffeisentwint/?p=tobias.angehrn@sgkb.ch,2523,128,0.761419318,0,0,2,1,0,0,0,1
133,https://linco-cable.com/jd/index.html,6590,134,0.822625525,0,0,0,0,0,0,0,1
135,https://galicipromos-clientes.replit.app/,160,136,0.214149183,0,0,0,0,0,0,0,1
136,https://aeon-ne-jp.atysdistribution.com,4229,137,0.757647817,0,0,3,0,1,1,0,1
138,https://is.reorderpack.com/raiffeisentwint/,2523,139,0.761419318,0,0,2,1,0,0,0,1
141,http://pancakeprotectors.pages.dev,4113,142,0.739358658,1,0,3,0,2,2,0,1
142,https://pancakeprotectors.pages.dev/,4113,143,0.739358658,1,0,3,0,2,2,0,1
168,https://scnv.io/fzb0,1419,169,0.794988283,0,0,0,0,2,2,0,1
175,http://70356134-1e65-4f60-94ee-18e6fc220ac1-00-qed3v4c7t0e6.spock.replit.dev,7444,176,0.855170362,0,0,1,0,1,1,0,1
176,https://ingres-ficohs-ahora.netlify.app/,2871,177,0.804174023,0,0,1,0,2,1,0,1
177,http://ingres-ficohs-ahora.netlify.app,2871,178,0.804174023,0,0,1,0,2,1,0,1
178,https://www.floridavacationrentalsbyowners.com/blog/content/30/,47378,179,0.274999971,4,0,24,1,43,28,0,1
189,https://xcvbnmasdfghjytrewq.weeblysite.com/,1551,190,0.625643849,0,0,0,0,1,1,0,1
190,https://aeon-ne-jp.bluagi.com/?3p0c2bt9,4219,191,0.757647817,0,0,3,0,1,1,0,1
191,https://aeon-ne-jp.msylc8.com/?3p0c2bt9,4219,192,0.757647817,0,0,3,0,1,1,0,1
192,https://aeon-ne-jp.shunjiezuche.cn/?3p0c2bt9,4224,193,0.757647817,0,0,3,0,1,1,0,1
193,https://aeon-ne-jp.afqaa.cn/?3p0c2bt9,4217,194,0.757647817,0,0,3,0,1,1,0,1
199,https://docs.google.com/presentation/d/e/2PACX-1vSicdycYx53gJa_WPT2JqPiNEGG3b9KkkXjVcMll5LMdZycsS7XdZUvwT0w8o3v7cnGtB93Do4DLhhq/pub?start=false&loop=false&delayms=3000,2802,200,0.688485831,0,0,0,0,3,2,0,1
205,https://cartaorener.000webhostapp.com,17443,206,0.889989395,0,0,5,1,4,4,0,1
207,https://www.floridavacationrentalsbyowners.com/uploads/3428/11/,47378,208,0.274999971,4,0,24,1,43,28,0,1
208,https://short.im/opdhfog,20061,209,0.848404589,0,0,7,1,17,7,0,1
212,https://customer-support-aeon.shop/aeon,39,213,0.138232703,0,0,0,0,0,0,0,1
218,https://blackberry-xdss-57ly.e2ghkywg.workers.dev,224955,219,0.493337582,1,0,31,1,208,206,0,1
223,https://docs.google.com/presentation/d/e/2PACX-1vTLs4Xtqe8xoJzHXxSSsw1kdHfA5CzYSgC6cJ6XsHFnqPh_Y5geGR9_HyaswlCLmD8ZRQGwLwpAk9U3/pub?start=false&amp;loop=false&amp;delayms=3000,3038,224,0.76719545,0,0,0,0,2,1,0,1
224,https://hhbgqmbf.square.site/,1551,225,0.625643849,0,0,0,0,1,1,0,1
225,https://rfgrdefgrdefgsd.blogspot.sn/,15064,226,0.819317503,1,0,9,1,2,0,0,1
226,https://rfgrdefgrdefgsd.blogspot.com/,15064,227,0.819317503,1,0,9,1,2,0,0,1
232,https://desk-byhi-54nd.qoxc5rau.workers.dev,225004,233,0.493337582,1,0,31,1,208,206,0,1
233,https://metamashjknig.azurewebsites.net/,2251,234,0.656180805,0,0,0,0,2,2,0,1
234,https://autumn-tree-3897.on.fleek.co/attmailverificationprocess.html,52433,235,0.771042128,1,0,29,1,1,0,0,1
235,https://www.comprensivoviguzzolo.edu.it/tmp/appsuite/,200003,236,0.584488447,2,1,21,1,135,117,0,1
236,https://www.rezzamastrella.com/otBannerSdk.html,49672,237,0.747267601,0,0,34,1,33,24,0,1
237,https://mnrydhabskdkf.weebly.com/,3792,238,0.667926093,0,0,1,0,2,0,0,1
240,https://www.donaldservice.se/ch/CHFINAL/,61269,241,0.833552714,0,0,33,1,26,24,0,1
241,https://micicoatings.com/indexx.php,39,242,0.138232703,0,0,0,0,0,0,0,1
242,https://sd0z5d4.blogspot.com/,39,243,0.138232703,0,0,0,0,0,0,0,1
243,https://extra-cashcrecemoscontigo-emprendedor.com/,7655,244,0.754516382,0,0,0,0,1,0,0,1
246,https://2a8ae48c9cf33b3e96d27973ce704ace705082dbcada582d199f4e068d.pages.dev/,21645,247,0.611866611,0,0,2,1,0,0,0,1
247,https://onecdn.mukmukmuke.workers.dev/?sso_reload=true,20691,248,0.038452034,0,0,0,0,0,0,0,1
248,https://onecdn.mukmukmuke.workers.dev/,20691,249,0.038452034,0,0,0,0,0,0,0,1
249,https://bafybeicgtz4clqpfogl6eb4e5s4f22l4vxw6fbl77wld4vrfhmcmtcu544.ipfs.dweb.link/,172840,250,0.831395407,0,0,4,1,0,0,0,1
250,https://pdf.remit-info.workers.dev/,195966,251,0.175179098,1,0,9,1,6,0,0,1
251,https://subtle-torrone-982adb.netlify.app/,2871,252,0.804174023,0,0,1,0,2,1,0,1
253,https://productive-mirror-vanilla.glitch.me/e45tfy.html,1927,254,0.678373852,0,0,0,0,2,1,0,1
254,https://veiled-efficacious-innovation.glitch.me/bf567j.html,1931,255,0.678373852,0,0,0,0,2,1,0,1
255,https://grizzled-comfortable-epoxy.glitch.me/67yusgy.html,1928,256,0.678373852,0,0,0,0,2,1,0,1
256,https://spark-excited-licorice.glitch.me/ui87ui.html,1924,257,0.678373852,0,0,0,0,2,1,0,1
257,https://resonant-erratic-gibbon.glitch.me/ji8uuij.html,1925,258,0.678373852,0,0,0,0,2,1,0,1
258,https://water-airy-fall.glitch.me/e6ygdh.html,1917,259,0.678373852,0,0,0,0,2,1,0,1
259,https://abaft-nebulous-discovery.glitch.me/ji87yu.html,1926,260,0.678373852,0,0,0,0,2,1,0,1
260,https://political-noisy-dietician.glitch.me/jijou8ui.html,1927,261,0.678373852,0,0,0,0,2,1,0,1
261,https://classy-lamington-c83494.netlify.app/,2871,262,0.804174023,0,0,1,0,2,1,0,1
262,https://ondriv3do.appraisal.workers.dev/,195704,263,0.687526224,0,0,36,1,53,53,0,1
263,https://coinbbase-logiin.godaddysites.com/,947,264,0.847967315,0,0,0,0,0,0,0,1
264,https://manymindz33.wixsite.com/yahoo,5685,265,0.845673522,0,0,8,0,6,0,0,1
265,https://gemini-usa3.godaddysites.com/,947,266,0.847967315,0,0,0,0,0,0,0,1
266,https://kucoin-loginnz.webflow.io/,4744,267,0.454279019,0,0,6,1,3,3,0,1
267,https://uppholedwoll-it9.godaddysites.com/,947,268,0.847967315,0,0,0,0,0,0,0,1
268,https://docs.google.com/presentation/d/e/2PACX-1vQNgSTOVhFpKOo2hCl47wvY1V-m_pjgCaMD1lRXNTsOWCpyR195bQv20EUtKPArIl5f563iDv2guVC7/pub?start=true&amp;loop=true&amp;delayms=3000&amp;slide=id.p,277021,269,0.814328419,0,0,18,0,0,0,0,1
270,https://glittering-strudel-23435a.netlify.app/,2871,271,0.804174023,0,0,1,0,2,1,0,1
271,https://www.sbb-login.swisspass.ch.suivral.com/v3/oevlogin/Aktu/,145,272,0.178457653,0,0,0,0,0,0,0,1
272,https://docs.google.com/presentation/d/e/2PACX-1vRkOanOviFxi50zZ-DZj-QPP0zu3SXUBUH8b_ClSSH5ZYulbtZigTq7MaWGJn-5AGp9alQlHIRZrQ3P/pub?start=false&amp;loop=false&amp;delayms=3000,112278,273,0.836511988,0,0,18,0,0,0,0,1
273,https://mjnsefdyfugh.weebly.com/,3792,274,0.667926093,0,0,1,0,2,0,0,1
274,https://skeudnfpqowe.weebly.com/,3792,275,0.667926093,0,0,1,0,2,0,0,1
275,https://usps.trackfreight-us.top,39,276,0.138232703,0,0,0,0,0,0,0,1
276,https://swiftnodesrectify.pages.dev/app/,4116,277,0.739358658,1,0,3,0,2,2,0,1
277,http://swiftnodesrectify.pages.dev/app,4116,278,0.739358658,1,0,3,0,2,2,0,1
278,https://exodusweb3walletr.gitbook.io/us/,203,279,0.214149183,0,0,0,0,0,0,0,1
279,https://docs.google.com/presentation/d/e/2PACX-1vSnBzo2i9x5IUq476R_Z3ReoB0AvvHYbAQlLWgDT0Jaoqp_1QPS7vSQInmAariHAbypU56l82Vk_k27/pub?start=false&amp;loop=false&amp;delayms=3000,3038,280,0.76719545,0,0,0,0,2,1,0,1
280,https://exodusweb3walleto.gitbook.io/us/,203,281,0.214149183,0,0,0,0,0,0,0,1
281,http://tinyurl.com/btmail221,27411,282,0.864160531,0,0,16,1,24,23,0,1
282,https://btemail789.wixsite.com/my-site-1,5685,283,0.845673522,0,0,8,0,6,0,0,1
283,http://ipfs.rgv.media/ipfs/bafkreifqxo72upcs7bk5p6ydyrxnhg2swjzxqbcayl3cldkzrhnzkhsufu,6619,284,0.40722546,0,0,0,0,3,2,0,1
284,http://hubotao.net/ipfs/bafkreifqxo72upcs7bk5p6ydyrxnhg2swjzxqbcayl3cldkzrhnzkhsufu,6619,285,0.40722546,0,0,0,0,3,2,0,1
285,http://www.mores.one/ipfs/bafkreifqxo72upcs7bk5p6ydyrxnhg2swjzxqbcayl3cldkzrhnzkhsufu,6619,286,0.40722546,0,0,0,0,3,2,0,1
287,https://taplink.cc/homedisupdate,1599,288,0.575619301,0,0,0,0,0,0,0,1
288,https://facebook-help-recovery.tiiny.site/,2524,289,0.867661446,0,0,4,1,2,2,0,1
296,https://server-europlinux-amazaws-ch.firebaseapp.com/#/v3/oevlogin/login,10580,297,0.183053881,0,0,0,0,2,2,0,1
297,https://admin.befikr.co.uk/wp-includes/tmp,144,298,0.178457653,0,0,0,0,0,0,0,1
299,https://www.muzzenss.com/idf,157307,300,0.273169637,2,1,44,1,2,2,0,1
303,https://papaya-gumdrop-0b67b0.netlify.app/,2871,304,0.804174023,0,0,1,0,2,1,0,1
327,https://www.fapiserramenti.it/wp-content/ch/,148,328,0.178457653,0,0,0,0,0,0,0,1
339,https://swisspost-securespay.bitrix24.site/ch/,3858,340,0.317127571,0,0,4,1,1,1,0,1
340,https://samuelfolarin.wixsite.com/my-site-3,5685,341,0.845673522,0,0,8,0,6,0,0,1
341,https://rp.mockplus.com/run/TrQynx-RLJ/irffOPqPZP?cps=hide&rps=hide&nav=1&ha=0&la=0&fc=1&out=1&rt=1&isFrame=true&moduleID=P_Tgivhdd,133857,342,0.854591553,0,0,11,1,0,0,0,1
342,https://gtgu.weebly.com/,3792,343,0.667926093,0,0,1,0,2,0,0,1
343,https://samuelfolarin.wixsite.com/my-site-5,5683,344,0.845673522,0,0,8,0,6,0,0,1
344,https://new.express.adobe.com/webpage/rdmvQT3DzyAkL,32306,345,0.557621109,0,0,25,1,0,0,0,1
345,https://lnkfi.re/vEfNXX,1423,346,0.307833513,0,0,0,0,0,0,0,1
348,https://checkingmailalldayismportant000007764545002540040000.weeblysite.com/,1551,349,0.625643849,0,0,0,0,1,1,0,1
349,https://checkingmailalldayismportant000007764545002540040000.weebly.com/,3792,350,0.667926093,0,0,1,0,2,0,0,1
350,https://docs.google.com/forms/d/e/1FAIpQLScdOeUQR7wPm1WiV4oJOVBFOsLgmrbu22bRNBDPbJN0cBdZPw/viewform,37615,351,0.873932371,1,0,6,1,5,4,0,1
355,https://beacons.ai/jrtsert?typeform-source=mail.google.com,5908,356,0.795925867,0,0,5,1,1,1,0,1
356,https://mailing-102747.square.site/,1551,357,0.625643849,0,0,0,0,1,1,0,1
357,https://jennygunnr.wixsite.com/my-site,5684,358,0.845673522,0,0,8,0,6,0,0,1
358,https://ashokechanda.wixsite.com/my-site,5685,359,0.845673522,0,0,8,0,6,0,0,1
359,https://rp.mockplus.com/run/nNwZj4s0dP/loaxzzc_vM?cps=hide&rps=hide&nav=1&ha=0&la=0&fc=1&dt=iphoneX&out=0&rt=1&isFrame=true&moduleID=7wmb4w620,127685,360,0.912188767,0,0,11,1,0,0,0,1
360,https://bt-105837.weeblysite.com/,1551,361,0.625643849,0,0,0,0,1,1,0,1
361,https://portal-cgd.com/,17860,362,0.893862446,0,0,3,1,0,0,0,1
362,https://apoio-cgd.com/,17770,363,0.893862446,0,0,3,1,0,0,0,1
368,https://rp.mockplus.com/run/nWEbZR5ScS/I1ltMTVqF0/ee_2ZhgtLx?cps=expand&rps=expand&nav=1&ha=0&la=0&fc=1&dt=iphoneX&out=0&rt=1&as=true,127644,369,0.912188767,0,0,11,1,0,0,0,1
369,https://app.mockplus.com/e/8FPhgMhrn,82081,370,0.602565166,0,0,4,1,0,0,0,1
371,http://flowcode.com/p/f6PWb7GOq?fc=0,1050251,372,0.886859356,0,0,45,1,5,3,0,1
372,https://flowcode.com/p/fb0dnzcnq?fc=0,159393,373,0.880174104,0,0,73,1,103,30,0,1
373,https://forms.aweber.com/form/59/1016881859.htm,39,374,0.138232703,0,0,0,0,0,0,0,1
374,https://lhub.to/Btbr0ad,172,375,0.119713033,0,0,0,0,0,0,0,1
375,https://beacons.ai/inforout?typeform-source=mail.google.com,4669,376,0.771931224,0,0,4,1,1,1,0,1
376,https://docs.google.com/presentation/d/e/2PACX-1vT5dMs0ytPYGk1PKlq48o7bQhX3ZMEXf_bwGS6LF8mGvpa0cibMO3Dc0zjU2gRzDXhJy6wMbd26WTMD/pub?start=false&loop=false&delayms=3000,2802,377,0.688485831,0,0,0,0,3,2,0,1
377,https://rp.mockplus.com/rps/P4JQ3CWZ6x,25511,378,0.145893819,0,0,4,1,0,0,0,1
378,https://rp.mockplus.com/run/eteGmPlODa/P4JQ3CWZ6x/backToHead?cps=hide&dt=iphoneX&ha=0&la=0&nav=0&out=0&rps=hide&rt=0&as=true,25511,379,0.145893819,0,0,4,1,0,0,0,1
380,https://flow.page/bt.update,989933,381,0.88454359,0,0,42,1,17,13,0,1
381,https://wealthnetfinance-mw.com/front_assets/fonts/ARUBA/areautenti,1113,382,0.536116016,0,0,0,0,0,0,0,1
382,https://wealthnetfinance-mw.com/front_assets/fonts/ARUBA/areautenti/login.php,1113,383,0.536116016,0,0,0,0,0,0,0,1
383,https://wealthnetfinance-mw.com/front_assets/fonts/ARUBA/areautenti/,1113,384,0.536116016,0,0,0,0,0,0,0,1
384,https://wealthnetfinance-mw.com/front_assets/fonts/ARUBA/areautenti/info.php,1113,385,0.536116016,0,0,0,0,0,0,0,1
388,https://shoutout.wix.com/so/38OtTYBog/c?w=KOqKWlOd7o6Han14Nskq8nrANWwck7KBRFJUR_0jNdI.eyJ1IjoiaHR0cHM6Ly9zZXJ2aWNlLXBvLmVzL0JSVC9uZXdicnQvIiwiciI6IjEwZjVmMTJhLTY3YjctNDRiMC05YWQ1LTc5YTIzNzc5NWI5MyIsIm0iOiJtYWlsIiwiYyI6ImZmN2M5N2U0LThmNjktNDM2My04NzhlLTk3ZjU2ODAyOGExZCJ9,363,389,0.505455027,0,0,0,0,0,0,0,1
389,https://webmail-server-migration.customer-service--centre.workers.dev/#aaaa@example.jp,166,390,0.214149183,0,0,0,0,0,0,0,1
394,https://growth-19.finalizarcompra.com,4228,395,0.757647817,0,0,3,0,1,1,0,1
395,https://finalizarcompra.com/checkout,4228,396,0.757647817,0,0,3,0,1,1,0,1
396,https://finalizarcompra.com,4228,397,0.757647817,0,0,3,0,1,1,0,1
397,http://finalizarcompra.com,4228,398,0.757647817,0,0,3,0,1,1,0,1
398,http://growth-19.finalizarcompra.com/checkout,4228,399,0.757647817,0,0,3,0,1,1,0,1
399,https://growth-19.finalizarcompra.com/checkout,4228,400,0.757647817,0,0,3,0,1,1,0,1
401,https://cloudflare-ipfs.com/ipfs/QmcbhWam1Eb8KVo3tmooZisWMJPtF7t5C9toyAtMvLmE7Q?filename�ss.html,13264,402,0.505565027,1,0,2,1,0,0,0,1
402,https://cade-egypt.com/wp-content/generic/data/prox/dhlmulti/multi/home.php,148,403,0.178457653,0,0,0,0,0,0,0,1
413,https://ipfs.io/ipfs/bafybeihyyl3eebvsoqzzqtszczonbxtcmrelku5z52n6qig2zj7463if2q,6619,414,0.40722546,0,0,0,0,3,2,0,1
415,https://ipfs.io/ipfs/QmNzk7Ab35nma9nmWUTBm68ZrXDqEdQcXzGFrSQAhk6itP,6619,416,0.40722546,0,0,0,0,3,2,0,1
416,https://ipfs.io/ipfs/QmQnLcjKVXegM8h4z6fnfG3naLvFqubLN2ZzSgAmqc4x2N,6619,417,0.40722546,0,0,0,0,3,2,0,1
417,https://ipfs.io/ipfs/QmY1UzxHaaX5pJhapnFLLvojNNwNng6fDn1CEoNtwC7YEN,6619,418,0.40722546,0,0,0,0,3,2,0,1
418,https://ipfs.io/ipfs/QmWjQNoGRtVzEqygF3r4NhGCKrZACvbNJGXh3xBpc659AT,6619,419,0.40722546,0,0,0,0,3,2,0,1
419,https://ipfs.io/ipfs/Qmdpu4VMBdxC2SWWuJj6hCbb8asapaY6sCwKsAjeMbf9Gx,6619,420,0.40722546,0,0,0,0,3,2,0,1
420,https://ipfs.io/ipfs/bafkreicnfuarsfung6u6yx3yzme2wyixiwjljpesy2g7mikychp7oiqx6y,6619,421,0.40722546,0,0,0,0,3,2,0,1
421,https://ipfs.io/ipfs/bafybeicawn4prmiuwwrkjyujvx4yzwni2lbjz66gbfteeddjhplncvz7se,6619,422,0.40722546,0,0,0,0,3,2,0,1
422,https://access.crtrading.net/imagess/sagawa/,12535,423,0.764110018,0,0,0,0,3,0,0,1
424,http://bafybeie66agdbf5yslzx5wtuix3qfy5k65dtpf6kq7pdwendviqxqj2r3u.ipfs.dweb.link/,6619,425,0.40722546,0,0,0,0,3,2,0,1
425,http://adjoining-oval-hall.glitch.me/public/A.html?BylBB0BvWnezXA8ozuUl3BoTyZpm3uAVmGVOhrv9Lrpgj1X0HqLHf7V2W6CQSlzAJa7KCn9bmtb24vG9PpJPdmjJRn30OWa4ZuzXTWxIC76kLgr5DXmy0MdBFz1wK8Pj2EoeB&amp;entity1994173,1921,426,0.678373852,0,0,0,0,2,1,0,1
426,https://docs.google.com/presentation/d/e/2PACX-1vTV0KvbQRSlVBOr50YJT8ERX2RuPxyaziclhsheFJTeX2vFQXjs45FOXz1JKLpaTQqARkFto2ltL-8M/pub?start=false&amp;loop=false&amp;delayms=3000,3038,427,0.76719545,0,0,0,0,2,1,0,1
427,https://pub-dbce98adcacd4e49a4cb64cc36d27ee5.r2.dev/login.htm,38812,428,0.139929787,1,0,8,1,7,6,0,1
428,https://pub-919ef7c6aa5b4bacb0c29c0b017dcd46.r2.dev/index.html,20270,429,0.835472464,0,0,5,1,0,0,0,1
429,https://pub-76f42c90e7e6456f8609998c571a1b68.r2.dev/index.html,20271,430,0.835472464,0,0,5,1,0,0,0,1
430,https://pub-40029b94f9b8448e8df0fa219918a7c6.r2.dev/myscr2.htm,1625828,431,0.766379197,3,0,4,1,48,44,0,1
431,https://pub-40029b94f9b8448e8df0fa219918a7c6.r2.dev/my1.htm,1625828,432,0.766379197,3,0,4,1,48,44,0,1
433,https://pub-09c5b90994134a3fa9b6d1f0a4dcc7fe.r2.dev/pinnaclereps.html,116091,434,0.818920669,0,0,3,1,9,2,0,1
449,https://csadmin.eocambo.com/Package568895QA/Track/pracel/RDGDESDZRFSYJNOI/index.php?FGDD=1,11709,450,0.437636636,0,0,3,1,4,0,0,1
450,https://sgbg.afrowebdigital.net/,145,451,0.178457653,0,0,0,0,0,0,0,1
451,http://sgbg.afrowebdigital.net/sms.php,145,452,0.178457653,0,0,0,0,0,0,0,1
452,http://sgbg.afrowebdigital.net/cc.php,145,453,0.178457653,0,0,0,0,0,0,0,1
453,http://particuliers-mescomptes.com/activer-mobile/infos-SG/,246,454,0.423249486,0,0,1,1,0,0,0,1
455,https://priority-mail-service.web.app/,10580,456,0.183053881,0,0,0,0,2,2,0,1
456,https://jxv.mjw.mybluehostin.me/s/usps/cbd01/,264,457,0.178457653,0,0,0,0,0,0,0,1
464,https://op-helpdesk.com/,3306,465,0.848131803,1,0,3,1,0,0,0,1
467,http://pay-nztoll.com/,3303,468,0.848131803,1,0,3,1,0,0,0,1
469,https://csgo-dallas.com/gift/48932459701435,160,470,0.126188616,0,0,0,0,0,0,0,1
470,https://propatchesusa.com/cpanel/Autopage/index.html,9040,471,0.850544961,1,0,6,1,1,0,0,1
472,https://hardware-trezuir.gitbook.io/us/,81500,473,0.728469404,0,0,54,1,3,1,0,1
473,https://surahpdfdownload.com/wp-includes/blocks/audio/Corrected/Corrected/new/,246,474,0.423249486,0,0,1,1,0,0,0,1
477,http://s3-deprecated.us-east-1.amazonaws.com/appforest_uf/f1679916831775x584820813539005400/autorennew.html?email=redacted,2818,478,0.443946238,0,0,0,0,0,0,0,1
